#{"t_start": 1672758446.629091, "env_id": null}
r,l,t
-0.39499977,200,165.638258
0.82500005,79,165.753598
0.96500003,47,165.822983
-0.4749997,200,166.090244
-0.29999986,200,166.342305
-0.5299997,200,166.602685
-0.5199997,200,168.009103
-0.39999977,200,168.259366
0.99,9,168.271264
0.92,25,168.303073
0.995,6,168.311492
-0.32999983,200,168.5721
-0.5199997,200,168.820082
-0.54999965,200,169.0763
-0.55499965,200,169.447356
-0.2699999,200,169.7116
-0.8449994,200,169.976988
-0.75999945,200,170.2312
-0.7099995,200,170.509367
0.2750005,198,171.927862
-0.41499975,200,172.181383
-0.3599998,200,172.430361
-0.7999994,200,172.682005
-0.34999982,200,172.93098
-0.17499997,200,173.300524
-0.8449994,200,173.556004
-0.6049996,200,173.804965
-0.6199996,200,174.059413
-0.31499985,200,174.312184
-0.23499991,200,175.59633
1.0,1,175.598285
0.97,15,175.732481
0.83000004,131,175.908748
-0.65999955,200,176.16057
1.0,5,176.167511
-0.67499954,200,176.418708
-0.8449994,200,176.669573
-0.54499966,200,176.921853
-0.8099994,200,177.300473
-0.43499973,200,177.560069
-0.44999972,200,177.808221
-0.66499954,200,178.060048
0.985,13,178.076876
-0.42999974,200,178.326807
-0.5099997,200,179.729968
-0.7299995,200,179.982057
-0.32999983,200,180.233966
-0.2699999,200,180.487102
-0.5099997,200,180.735438
-0.48999968,200,181.104053
-0.3649998,200,181.353286
-0.5049997,200,181.609478
-0.6049996,200,181.862592
-0.63999957,200,182.114399
-0.84999937,200,183.504339
-0.6199996,200,183.752837
1.0,6,183.760686
-0.57499963,200,184.012872
0.975,15,184.032277
-0.5099997,200,184.287245
0.7650001,137,184.461459
0.87,112,184.602593
-0.7999994,200,184.972506
0.99,6,184.98082
0.945,23,185.010638
-0.3599998,200,185.260414
-0.48999968,200,185.512963
-0.5149997,200,185.762465
0.975,30,185.800272
-0.43499973,200,187.063823
-0.44499972,200,187.431538
-0.34999982,200,187.683325
-0.8199994,200,187.931922
0.945,40,187.98444
0.98,13,188.001888
-0.55999964,200,188.252977
1.0,1,188.254877
-0.2449999,200,188.507065
-0.41999975,200,188.878286
-0.4699997,200,189.137248
-0.28499988,200,189.388761
-0.31999984,200,189.640757
-0.3649998,200,190.911088
-0.64499956,200,191.284021
0.7550001,150,191.472972
-0.56499964,200,191.724466
-0.42999974,200,191.977517
0.82500005,64,192.058579
0.7650001,84,192.164589
-0.31999984,200,192.534067
-0.42499974,200,192.784706
0.995,11,192.799164
-0.4749997,200,193.05428
0.96500003,36,193.099646
0.51000035,172,193.315058
0.945,53,193.38269
-0.4799997,200,193.636408
0.995,10,193.649615
